Date,Sit_Start,Sit_End,Duration_sec
2025-12-14,18:30:36,18:30:39,3.3
2025-12-14,18:43:21,18:44:32,71.1
2025-12-14,18:59:50,18:59:53,3.2
2025-12-14,18:59:55,18:59:57,1.3
2025-12-14,19:00:46,19:00:48,1.2
2025-12-14,19:01:02,19:01:09,6.7
2025-12-14,19:01:13,19:01:21,7.9
2025-12-14,19:01:22,19:01:24,1.2
2025-12-14,19:01:31,19:01:32,1.4
2025-12-14,19:11:15,19:11:20,5.6
2025-12-14,19:14:45,19:15:18,32.4
2025-12-14,19:15:33,19:16:07,33.5
2025-12-14,19:17:08,19:17:11,3.0
2025-12-14,19:19:19,19:19:24,5.0
2025-12-14,19:25:50,19:25:57,7.0
2025-12-14,19:27:52,19:27:53,1.2
2025-12-14,19:28:10,19:28:15,4.4
2025-12-14,19:36:46,19:37:00,14.7
2025-12-14,19:38:33,19:38:54,20.5
2025-12-14,19:39:57,19:40:07,10.3
2025-12-14,19:40:09,19:40:11,1.8
2025-12-14,19:40:21,19:40:23,1.8
2025-12-14,19:41:16,19:41:42,26.2
2025-12-14,21:45:31,21:45:42,10.7
2025-12-14,21:45:44,21:45:47,3.1
2025-12-14,21:46:02,21:46:04,1.2
2025-12-14,21:46:52,21:47:45,53.3
2025-12-14,21:48:38,21:49:12,34.2
2025-12-14,21:49:21,21:49:23,2.5
2025-12-14,21:51:44,21:51:46,2.3
2025-12-14,21:51:48,21:52:42,54.1
2025-12-14,22:11:25,22:11:37,11.4
2025-12-14,22:20:54,22:21:02,7.8
2025-12-14,22:21:05,22:21:08,3.4
2025-12-14,22:21:14,22:21:47,32.8
2025-12-14,22:35:16,22:35:40,24.7
2025-12-14,22:36:54,22:37:44,50.3
2025-12-14,22:56:52,22:57:01,8.7
2025-12-14,22:57:02,22:57:05,2.2
2025-12-14,22:59:18,22:59:37,19.1
2025-12-14,23:11:30,23:11:42,11.8
2025-12-14,23:11:48,23:12:52,64.2
2025-12-14,23:23:49,23:24:08,19.4
